Model,Accuracy,Precision,Recall,F1 Score,AUC
Logistic Regression,0.5273833671399595,0.5253063399041022,0.9600778967867576,0.6790633608815427,0.5230357078458344
Random Forest,0.47971602434077076,0.5014084507042254,0.1733203505355404,0.2575976845151954,0.4853763208193588
