Date,Open,High,Low,Close,Adj Close,Volume,Return,Volatility_20
1980-12-12,0.5133928656578064,0.515625,0.5133928656578064,0.5133928656578064,0.4067815542221069,117258400,,
1980-12-15,0.4888392984867096,0.4888392984867096,0.4866071343421936,0.4866071343421936,0.385558158159256,43971200,-0.05217394534942055,
1980-12-16,0.453125,0.453125,0.4508928656578064,0.4508928656578064,0.3572602868080139,26432000,-0.07339446169992259,
1980-12-17,0.4620535671710968,0.4642857015132904,0.4620535671710968,0.4620535671710968,0.3661033511161804,21610400,0.02475244645312391,
1980-12-18,0.4754464328289032,0.4776785671710968,0.4754464328289032,0.4754464328289032,0.3767151534557342,18362400,0.02898552594194581,
1980-12-19,0.5044642686843872,0.5066964030265808,0.5044642686843872,0.5044642686843872,0.3997070789337158,12157600,0.061032818529793254,
1980-12-22,0.5290178656578064,0.53125,0.5290178656578064,0.5290178656578064,0.4191618859767914,9340800,0.04867261865236472,
1980-12-23,0.5513392686843872,0.5535714030265808,0.5513392686843872,0.5513392686843872,0.4368479549884796,11737600,0.04219404386055148,
1980-12-24,0.5803571343421936,0.5825892686843872,0.5803571343421936,0.5803571343421936,0.4598398804664612,12000800,0.052631596017184146,
1980-12-26,0.6339285969734192,0.6361607313156128,0.6339285969734192,0.6339285969734192,0.5022867918014526,13893600,0.09230775234967381,
1980-12-29,0.6428571343421936,0.6450892686843872,0.6428571343421936,0.6428571343421936,0.509361207485199,23290400,0.014084452746574438,
1980-12-30,0.6294642686843872,0.6294642686843872,0.6272321343421936,0.6272321343421936,0.4969809353351593,17220000,-0.024305555877494278,
1980-12-31,0.6116071343421936,0.6116071343421936,0.609375,0.609375,0.4828320145606994,8937600,-0.028469737700733688,
1981-01-02,0.6160714030265808,0.6205357313156128,0.6160714030265808,0.6160714030265808,0.4881376624107361,5415200,0.010988969069260834,
1981-01-05,0.6049107313156128,0.6049107313156128,0.6026785969734192,0.6026785969734192,0.4775262176990509,8932000,-0.02173904840797125,
1981-01-06,0.578125,0.578125,0.5758928656578064,0.5758928656578064,0.4563027024269104,11289600,-0.04444447081765901,
1981-01-07,0.5535714030265808,0.5535714030265808,0.5513392686843872,0.5513392686843872,0.4368479549884796,13921600,-0.04263570264127714,
1981-01-08,0.5424107313156128,0.5424107313156128,0.5401785969734192,0.5401785969734192,0.4280048310756683,9956800,-0.020242838384430306,
1981-01-09,0.5691964030265808,0.5714285969734192,0.5691964030265808,0.5691964030265808,0.450996845960617,5376000,0.05371891114484395,
1981-01-12,0.5691964030265808,0.5691964030265808,0.5647321343421936,0.5647321343421936,0.4474597573280334,5924800,-0.007843107687696915,
1981-01-13,0.546875,0.546875,0.5446428656578064,0.5446428656578064,0.4315420687198639,5762400,-0.03557309291030064,0.045321639954593824
1981-01-14,0.546875,0.5491071343421936,0.546875,0.546875,0.4333106577396393,3572800,0.004098344957659039,0.0433597644601425
1981-01-15,0.5580357313156128,0.5625,0.5580357313156128,0.5580357313156128,0.4421537220478058,3516800,0.02040819440569197,0.039099382418597096
1981-01-16,0.5558035969734192,0.5558035969734192,0.5535714030265808,0.5535714030265808,0.4386165738105774,3348800,-0.008000076049802352,0.03919784415506374
1981-01-19,0.5870535969734192,0.5892857313156128,0.5870535969734192,0.5870535969734192,0.4651458859443664,10393600,0.0604839660498695,0.04061664936852385
1981-01-20,0.5714285969734192,0.5714285969734192,0.5691964030265808,0.5691964030265808,0.450996845960617,7520800,-0.030418336654271294,0.03987212682725215
1981-01-21,0.5803571343421936,0.5848214030265808,0.5803571343421936,0.5803571343421936,0.4598398804664612,3976000,0.019607873936426934,0.03878021019292783
1981-01-22,0.5870535969734192,0.5915178656578064,0.5870535969734192,0.5870535969734192,0.4651458859443664,8887200,0.011538520395403928,0.03784147142304666
1981-01-23,0.5870535969734192,0.5892857313156128,0.5848214030265808,0.5848214030265808,0.4633772075176239,2805600,-0.003802368230680364,0.03607207946179882
1981-01-26,0.578125,0.578125,0.5758928656578064,0.5758928656578064,0.4563027024269104,6160000,-0.015267117999729907,0.029081596619414167
1981-01-27,0.5758928656578064,0.5758928656578064,0.5714285969734192,0.5714285969734192,0.4527655839920044,5924800,-0.007751908298582522,0.028759597923058385
1981-01-28,0.5558035969734192,0.5558035969734192,0.5535714030265808,0.5535714030265808,0.4386165738105774,7039200,-0.031250088009979415,0.029039379614153597
